#MLRT	#	IV
Young	A	IV
Minded	V	OOV
Ass	N	IV
Niggas	N	OOV
..	,	IV
			
RT	~	IV
@LP94Kaeun	@	IV
:	,	IV
@LJ87Yeon	@	IV
E	N	IV
A	D	IV
SENHORA	!	OOV
?	,	IV
MAS	^	IV
OLHA	!	OOV
Q	N	IV
LINDA	^	IV
http://t.co/QyioYG0ssd	U	IV
			
"	,	IV
@Jas3man	@	IV
:	,	IV
Eh	!	IV
!	,	IV
Laylow	^	IV
on	P	IV
d	!	IV
beat	V	IV
,	,	IV
Lolz	!	OOV
"	,	IV
@pre_cutie	@	IV
"	,	IV
@Da_Choker	@	IV
:	,	IV
He	O	IV
gon	V	IV
lay	V	IV
low	A	IV
trust	N	IV
me	O	IV
"	,	IV
@pre_cutie	@	IV
:	,	IV
My	D	IV
bf	N	IV
is	V	IV
the	D	IV
http://t.co/nZdFJELc4d	U	IV
			
I	O	IV
looove	V	OOV
MJ	^	IV
ft	V	IV
.	,	IV
JT	^	IV
-	,	IV
Love	N	IV
never	R	IV
felt	V	IV
so	R	IV
good	A	IV
,	,	IV
but	&	IV
the	D	IV
video	N	IV
kinda	R	IV
sucks	V	IV
.....	,	IV
			
RT	~	IV
@TRVLX	@	IV
:	,	IV
Club	N	OOV
lacura	!	OOV
$250	$	IV
cash	N	IV
this	O	IV
Friday	^	IV
for	P	IV
lookin	V	IV
good	A	IV
im	L	IV
there	R	IV
			
TBT	^	IV
Live	V	IV
Update	N	OOV
:	,	IV
PM	N	IV
Sheikh	G	OOV
hasina	^	IV
returns	V	IV
home	N	IV
Prime	A	OOV
Minister	N	OOV
Sheikh	G	OOV
Hasina	^	IV
returned	V	IV
home	N	IV
this	O	IV
morning	N	IV
after	P	IV
...	~	OOV
http://t.co/1ZMEk6dEAU	U	IV
			
Macama	^	IV
qaqaa	!	OOV
"	,	IV
@emmysq	@	IV
:	,	IV
Amiin	!	OOV
.	,	IV
Terimakassih	^	IV
.	,	IV
"	,	IV
@rizalogyc	@	IV
:	,	IV
happy	A	IV
'	,	IV
18th	$	IV
'	,	IV
birthday	N	IV
@emmysq	@	IV
wish	V	IV
you	O	IV
all	D	IV
the	D	IV
best	A	IV
,	,	IV
success	N	IV
for	P	IV
your	D	IV
study	N	IV
;p	E	OOV
masuk	!	OOV
			
I	O	IV
dont	V	IV
know	V	IV
if	P	IV
ashton	^	IV
is	V	IV
foolin	V	IV
or	&	IV
not	R	IV
			
@MyXOLO	@	IV
#MissionMillion	#	IV
Friends	N	IV
Join	V	IV
It	O	IV
To	P	IV
Win	V	IV
A	D	IV
Grand	A	OOV
Prize	N	OOV
!	,	IV
Pass	N	IV
the	D	IV
XOLO	!	OOV
LFC	^	IV
#Football	#	IV
to	P	IV
@jaihoteri	@	IV
#4905	#	IV
			
U	O	IV
know	V	IV
i	O	IV
b	V	IV
kiddn	V	OOV
nana	!	IV
:D	E	OOV
"	,	IV
@trinityhotnez	@	IV
:	,	IV
@DjPride1	@	IV
@Questionnier	@	IV
ah	!	IV
..	,	IV
u	O	IV
too	R	IV
much	A	IV
!	,	IV
:p	E	OOV
"	,	IV
			
Video	N	OOV
:	,	IV
SAINTS	^	IV
LAST	A	OOV
NIGHT	N	OOV
JUST	R	OOV
COULDNT	V	OOV
HELP	V	OOV
IT	O	IV
LMBO	!	OOV
DROPPIN	V	OOV
ALL	D	OOV
OVER	P	OOV
THE	D	OOV
PLACE	N	OOV
AT	P	IV
...	~	OOV
http://t.co/Ex3g0a7jr1	U	IV
			
RT	~	IV
@skylinsun	@	IV
:	,	IV
PTDR	!	OOV
JASSUME	!	OOV
PLUS	&	OOV
CE	!	IV
FANDOM	N	OOV
DE	^	IV
MALADES	N	OOV
#LRT	#	IV
			
If	P	IV
you	O	IV
don't	V	IV
talk	V	IV
that	O	IV
fufu	!	OOV
shit	N	IV
in	P	IV
rap	N	IV
bout	P	IV
what	O	IV
you	O	IV
really	R	IV
doin	V	IV
I	O	IV
can	V	IV
fuckz	!	OOV
with	P	IV
it	O	IV
			
Kurang	!	OOV
H	N	IV
kakak	^	IV
RT	~	IV
@jiyyggy	@	IV
:	,	IV
@nrlkha	@	IV
somebody	N	IV
that	O	IV
i	O	IV
used	V	IV
to	P	IV
know	V	IV
:)	E	OOV
			
RT	~	IV
@Country_Voices	@	IV
:	,	IV
Beer	N	IV
gets	V	IV
a	D	IV
barefoot	A	IV
country	N	IV
girl	N	IV
swayin	N	IV
,	,	IV
To	P	IV
a	D	IV
song	N	IV
that's	L	IV
playin	V	IV
and	&	IV
the	D	IV
world	N	IV
starts	V	IV
fadin	V	IV
'	,	IV
.	,	IV
#FrankieBallard	#	IV
			
RT	~	IV
@GeniusFootball	@	IV
:	,	IV
BREAKING	V	OOV
:	,	IV
Carlo	^	IV
Ancelotti	^	IV
reacts	V	IV
to	P	IV
Iker	^	IV
Casillas	^	IV
'	,	IV
mistake	N	IV
.	,	IV
http://t.co/eN5AwJtbpB	U	IV
			
Eh	!	IV
everybody	N	IV
busy	A	IV
asf	N	OOV
,	,	IV
boutta	P	OOV
be	V	IV
schleep	N	OOV
			
@adams012	@	IV
I	O	IV
want	V	IV
the	D	IV
black	A	IV
one	$	IV
...	~	OOV
Seeing	V	OOV
as	P	IV
it's	L	IV
my	D	IV
favourite	!	OOV
colour	N	OOV
			
@APharaohsLegacy	@	IV
naw	!	IV
a	D	IV
nigga	N	IV
representin	V	IV
...	~	OOV
Bangin	V	OOV
,	,	IV
set	V	IV
trippin	V	IV
...	~	OOV
It	O	IV
is	V	IV
what	O	IV
it	O	IV
is	V	IV
!!!	,	IV
			
RT	~	IV
@dabriefcase	@	IV
:	,	IV
I	O	IV
knw	V	OOV
im	L	IV
hawt	A	IV
joe	^	IV
but	&	IV
control	N	IV
yurself	O	OOV
http://t.co/hh0CmJEXuO	U	IV
			
RT	~	IV
@CuteEmergency	@	IV
:	,	IV
When	R	OOV
bae	N	IV
hasn't	V	IV
texted	V	OOV
you	O	IV
all	D	IV
day	N	IV
.	,	IV
http://t.co/RrVmwYFzjG	U	IV
			
TAMARA	^	IV
DEJA	!	OOV
DE	^	IV
RT	~	IV
LAS	^	IV
COSAS	^	IV
NENAAAAA	N	OOV
a	D	IV
			
RT	~	IV
@MixTapeFM	@	IV
:	,	IV
Chinx	^	IV
Drugz	N	OOV
-	,	IV
Floor	N	OOV
Up	T	IV
Feat	V	OOV
Zack	^	IV
(	,	IV
Prod	V	OOV
by	P	IV
Young	A	IV
Stokes	^	IV
:	,	IV
#NowPlaying	#	IV
on	P	IV
http://t.co/VW6biJu84q	U	IV
::	G	OOV
#TuneIn	#	IV
@ChinxMusic	@	IV
			
HOT	A	OOV
#NEW	#	IV
MIXTAPE	N	OOV
:	,	IV
Peewee	^	IV
Longway	^	IV
-	,	IV
The	D	IV
Blue	A	IV
MM	!	IV
Peewee	^	IV
Longway	^	IV
Peewee	^	IV
Longway	^	IV
delivers	V	IV
his	D	IV
new	A	IV
...	~	OOV
http://t.co/4dt4ac5B8o	U	IV
#PeeweeLongway	#	IV
			
Man	!	IV
!!	,	IV
Nilikua	!	OOV
nalala	!	OOV
selo	!	IV
leo	^	IV
!	,	IV
Damn	!	OOV
,	,	IV
life	N	IV
can	V	IV
change	N	IV
in	P	IV
the	D	IV
blink	V	IV
of	P	IV
an	D	IV
eye	N	IV
!	,	IV
			
@QPRAreStayingUp	@	IV
Well	!	IV
done	V	IV
QPR	^	IV
I	O	IV
run	V	IV
a	D	IV
Fantasy	N	OOV
Football	N	OOV
mini	!	IV
league	N	IV
-	,	IV
managers	N	IV
run	V	IV
a	D	IV
single	A	IV
P-L	G	OOV
team	N	IV
.	,	IV
I	O	IV
need	V	IV
a	D	IV
manager	N	IV
for	P	IV
QPR	^	IV
pls	!	OOV
RT	~	IV
			
RT	~	IV
@ejatsyamir	@	IV
:	,	IV
Alone	A	OOV
without	P	IV
love	N	IV
.	,	IV
Kawan	^	IV
ade	G	IV
.	,	IV
Gua	!	IV
tak	N	IV
kisah	!	OOV
.	,	IV
			
Ive	L	IV
been	V	IV
shopping	N	IV
everyday	N	IV
since	P	IV
ive	L	IV
been	V	IV
in	P	IV
Virginia	^	IV
....	,	IV
feels	V	IV
good	A	IV
lol	!	IV
			
A	D	IV
bird	N	IV
really	R	IV
shat	!	IV
on	P	IV
me	O	IV
as	P	IV
I	O	IV
was	V	IV
about	P	IV
to	P	IV
tweet	V	IV
smh	G	OOV
			
RT	~	IV
@ermwatson	@	IV
:	,	IV
Graduating	V	OOV
Emma	^	IV
Watson	^	IV
appreciation	N	IV
tweet	V	IV
Congrats	!	OOV
bae	N	IV
ily	!	IV
@EmWatson	@	IV
#WeAreProudOfEmmaWatson	#	IV
http://t.co/XKMXXHrxUX	U	IV
			
seeing	V	IV
if	P	IV
ii	O	IV
can	V	IV
get	V	IV
a	D	IV
lil	A	IV
shopping	N	IV
out	T	IV
the	D	IV
way	N	IV
before	P	IV
workk	N	OOV
..	,	IV
			
Im	L	IV
real	A	IV
small	A	IV
but	&	IV
imma	L	IV
dawg	N	OOV
			
Love	N	IV
talking	V	IV
life/leadership/and	N	OOV
ministry	N	IV
with	P	IV
Pastor	N	OOV
B	N	IV
.	,	IV
Keep	V	OOV
rockin	V	IV
it	O	IV
in	P	IV
Iowa	^	IV
bro	N	IV
!	,	IV
@BrianAllan87	@	IV
			
Ewa	^	IV
man	!	IV
gd	A	IV
ni	!	IV
akong	!	OOV
utok	!	OOV
maka	!	IV
think	V	IV
ug	!	IV
things	N	IV
oi	!	IV
bullshit	N	IV
			
RT	~	IV
@SkyNews	@	IV
:	,	IV
OBSERVER	N	OOV
FRONT	N	OOV
PAGE	N	OOV
:	,	IV
Triumphant	A	OOV
Ukip	^	IV
draws	V	IV
up	T	IV
hitlist	!	OOV
of	P	IV
20	$	IV
key	N	IV
seats	N	IV
to	P	IV
strom	N	IV
Commons	N	IV
.	,	IV
#skypapers	#	IV
http://t.co/XIqVb3FM5d	U	IV
			
Yo	!	IV
what	O	IV
happend	V	OOV
to	P	IV
Tila	^	IV
Tequila	N	OOV
?	,	IV
			
@TheyCallsMeDale	@	IV
idk	L	OOV
,	,	IV
I've	L	IV
never	R	IV
played	V	IV
lol	!	IV
I	O	IV
could	V	IV
be	V	IV
			
Idk	L	OOV
what	O	IV
I'd	L	IV
do	V	IV
if	P	IV
tana	^	IV
cut	N	IV
off	T	IV
his	D	IV
beard	N	IV
.	,	IV
Prolly	R	OOV
curl	V	IV
up	T	IV
in	P	IV
the	D	IV
fetal	A	IV
position	N	IV
			
Im	L	IV
back	R	IV
on	P	IV
these	D	IV
mf	!	IV
all	D	IV
yall	O	IV
can	V	IV
smd	!	OOV
			
Kim	^	IV
Yeon	!	OOV
Woo	!	IV
releases	N	IV
MV	N	IV
for	P	IV
'	,	IV
Move	V	OOV
'	,	IV
ft	V	IV
.	,	IV
Block	N	IV
B's	Z	IV
Park	^	IV
Kyung	!	OOV
http://t.co/MiRJregW2u	U	IV
			
why	R	IV
isnt	V	OOV
there	R	IV
a	D	IV
mariokart	^	IV
app	N	IV
			
Injured	V	OOV
Cook	N	IV
out	T	IV
of	P	IV
second	A	IV
ODI	N	OOV
:	,	IV
England	^	IV
captain	N	IV
Alastair	^	IV
Cook	N	IV
will	V	IV
miss	V	IV
Sunday's	Z	IV
second	A	IV
ODI	N	OOV
against	P	IV
Sri	^	IV
Lanka	^	IV
...	~	OOV
http://t.co/rhrbmzHBtm	U	IV
			
RT	~	IV
@laurenloserface	@	IV
:	,	IV
All	D	IV
these	D	IV
people	N	IV
favoriting	V	OOV
and	&	IV
retweeting	!	OOV
me	O	IV
,	,	IV
but	&	IV
no	!	IV
one	$	IV
sliding	V	IV
in	P	IV
my	D	IV
DMs	N	OOV
??????	,	IV
			
@whereivewalked	@	IV
Hehe	!	OOV
and	&	IV
we've	L	IV
officially	R	IV
learnt	V	OOV
that	O	IV
the	D	IV
widest	A	IV
part	N	IV
of	P	IV
your	D	IV
body	N	IV
is	V	IV
your	D	IV
boobs	N	IV
;)	E	OOV
			
RT	~	IV
@drunkasniall	@	IV
:	,	IV
NIALL	^	IV
LOOKS	V	OOV
SO	R	IV
HAPPY	A	OOV
LOML	^	IV
http://t.co/4JIsqFNwhy	U	IV
			
Is	V	IV
it	O	IV
orgasm	N	IV
or	&	IV
orgasim	N	OOV
,	,	IV
fml	!	OOV
im	L	IV
so	R	IV
confused	A	IV
			
@TylerMajewski	@	IV
it's	L	IV
about	P	IV
more	A	IV
than	P	IV
number	N	IV
bruh	N	OOV
,	,	IV
and	&	IV
I'm	L	IV
not	R	IV
talkn	!	OOV
about	P	IV
statistics	N	IV
I'm	L	IV
talkn	!	OOV
about	P	IV
skill	N	IV
level	N	IV
			
NArendra	^	IV
Modi	^	IV
arrives	V	IV
in	P	IV
his	D	IV
bullet	N	IV
proof	N	IV
BMW	^	IV
,	,	IV
arrives	V	IV
before	P	IV
9am	$	IV
and	&	IV
will	V	IV
now	R	IV
meet	V	IV
Pakistani	A	IV
Prime	A	OOV
Minister	N	OOV
			
@Tortuga_XI	@	IV
yh	!	IV
but	&	IV
there	R	IV
are	V	IV
opinions	N	IV
n	&	IV
being	V	IV
biased	V	IV
			
RT	~	IV
@harryschapel	@	IV
:	,	IV
zouis	^	IV
smoking	V	IV
and	&	IV
harrys	L	OOV
probably	R	IV
like	P	IV
https://t.co/DbavzTaxj7	U	IV
			
RT	~	IV
@TheVineFights	@	IV
:	,	IV
Lil	A	IV
homies	N	IV
a	D	IV
real	A	IV
G	!	IV
http://t.co/CoKPbLGEWF	U	IV
			
All	D	IV
I	O	IV
can	V	IV
read	V	IV
in	P	IV
my	D	IV
twitter	^	IV
now	R	IV
is	V	IV
"	,	IV
ang	!	IV
sakit	!	OOV
ng	!	IV
ulo/katawan	!	OOV
ko	!	IV
"	,	IV
HAAHAHAHHA	!	OOV
!	,	IV
Thanks	N	IV
to	P	IV
@alekgaerlan09	@	IV
:))	E	OOV
			
Scottish	^	IV
Labour	N	OOV
unable	A	IV
to	P	IV
stop	V	IV
UKIP	^	IV
winning	V	IV
EU	^	IV
seat	N	IV
in	P	IV
Scotland	^	IV
.	,	IV
#indyref	#	IV
@Margaret_Curran	@	IV
#bettertogether	#	IV
			
RT	~	IV
@NiallOfficial	@	IV
:	,	IV
Dressin	V	OOV
room	N	IV
shenanigans	N	IV
!	,	IV
With	P	OOV
harrystyles	!	OOV
http://t.co/xDUPSTtIot	U	IV
			
@bravefrontiergl	@	IV
Thank	V	IV
you	O	IV
brave	A	IV
frontier	N	IV
.	,	IV
And	&	IV
thank	V	IV
you	O	IV
pheobe	^	IV
Senpai	N	OOV
for	P	IV
staying	V	IV
with	P	IV
us	O	IV
:D	E	OOV
			
Waves	V	IV
was	V	IV
whippin	!	IV
my	D	IV
ass	N	IV
today	N	IV
bruh	N	OOV
			
I	O	IV
told	V	IV
Tasha	^	IV
my	D	IV
Xbox	^	IV
gamertag	N	OOV
and	&	IV
she	O	IV
nearly	R	IV
lost	V	IV
her	O	IV
shit	N	IV
.	,	IV
			
@Natasha15xo	@	IV
Haha	!	OOV
deffo	!	OOV
trying	V	IV
to	P	IV
resist	V	IV
these	D	IV
chocolate	N	IV
brownies	N	IV
!	,	IV
I	O	IV
knooow	V	OOV
right	!	IV
quick	A	IV
trip	N	IV
!!	,	IV
Xx	E	OOV
			
#Albert_Stanlie	#	IV
INF	G	OOV
:	,	IV
Gwyneth	^	IV
Paltrow	^	IV
:	,	IV
Celebs	N	OOV
Facing	V	OOV
'	,	IV
Dehumanizing	!	OOV
'	,	IV
Web	^	IV
Comments	N	OOV
Almost	R	OOV
Like	P	OOV
Soldiers	N	OOV
in	P	IV
War	N	IV
:	,	IV
T	G	IV
...	~	OOV
http://t.co/CGb81CnSGc	U	IV
			
Fuck	!	OOV
all	D	IV
your	D	IV
fuckin	!	IV
thoughts	N	IV
about	P	IV
'	,	IV
us	O	IV
'	,	IV
and	&	IV
that	O	IV
patama	!	OOV
thingys	N	OOV
.	,	IV
Soooooo	R	OOV
kiddie	^	IV
.	,	IV
-____________________________-	E	OOV
			
1	$	IV
tweep	N	OOV
unfollowed	V	OOV
(	,	IV
goodbye	!	IV
!	,	IV
)	,	IV
me	O	IV
in	P	IV
the	D	IV
past	A	IV
day	N	IV
.	,	IV
Thank	V	IV
you	O	IV
http://t.co/qHYh6bsey2	U	IV
.	,	IV
			
Oh	!	IV
man	!	IV
,	,	IV
Habs	^	IV
vs	V	IV
.	,	IV
Bruins	^	IV
continues	V	IV
.	,	IV
The	D	IV
finalists	N	IV
for	P	IV
the	D	IV
NHL15	!	OOV
cover	N	IV
?	,	IV
Subban	!	OOV
vs	V	IV
Bergeron	^	IV
.	,	IV
#NHL15Subban	#	IV
			
RT	~	IV
@krungy21	@	IV
:	,	IV
Where	R	OOV
is	V	IV
our	D	IV
next	A	IV
destination	N	IV
?!?	,	IV
It's	L	OOV
gotta	V	IV
be	V	IV
Kuala	^	IV
Lumpur	^	IV
!!!	,	IV
See	V	IV
u	O	IV
soon	R	IV
Blackjack	^	IV
Malaysia	^	IV
!	,	IV
:)	E	OOV
#AON	#	IV
#KualaLumpur	#	IV
#2NE1	#	IV
			
RT	~	IV
@Bhadoosky	@	IV
:	,	IV
Eminado	!	OOV
means	V	IV
GOODLUCK	!	OOV
,	,	IV
Surulere	^	IV
means	V	IV
PATIENCE	N	OOV
,	,	IV
@DONJAZZY	@	IV
must	V	IV
be	V	IV
related	A	IV
to	P	IV
Our	D	OOV
president	N	IV
.	,	IV
			
LUKE	^	IV
ROBERT	^	IV
HEMMINGS	^	IV
.	,	IV
WHY	R	OOV
WONT	V	OOV
U	O	IV
FOLLOW	V	OOV
ME	O	IV
?	,	IV
IM	L	IV
TRYING	V	OOV
SO	R	IV
FUCKING	!	OOV
HARD	A	OOV
!!!	,	IV
			
Abo	!	IV
o	!	IV
gainile	!	OOV
gape	N	IV
kitso	!	OOV
akere	!	OOV
RT	~	IV
"	,	IV
@Suna_Baby	@	IV
:	,	IV
Yessssiiiirrrrr	!	OOV
!	,	IV
RT	~	IV
@jozi00915	@	IV
:	,	IV
Me	O	IV
and	&	IV
Suna_Baby	G	OOV
..	,	IV
#WeddingVibez	#	IV
http://t.co/DXWxOYrY5C	U	IV
"	,	IV
			
RT	~	IV
@WorldStarFunny	@	IV
:	,	IV
Bruh	N	OOV
.	,	IV
This	D	IV
why	R	IV
white	A	IV
people	N	IV
dont	V	IV
like	P	IV
niggas	N	OOV
https://t.co/5WxflXvMS9	U	IV
			
SAD	A	OOV
:	,	IV
NYSC	^	IV
member	N	IV
crushed	V	IV
to	P	IV
death	N	IV
by	P	IV
fuel	N	IV
tanker	N	IV
in	P	IV
Kwara	^	IV
http://t.co/8EbSQ3lgKx	U	IV
			
Maine	^	IV
kal	^	IV
hi	!	IV
kaha	!	OOV
tha	D	IV
https://t.co/xPRWYGk7rm	U	IV
MT	!	IV
sunetrac	!	OOV
:	,	IV
Sec	N	IV
of	P	IV
cong	!	IV
disowns	V	IV
Ajay	^	IV
Maken	^	IV
attack	N	IV
as	P	IV
it	O	IV
makes	V	IV
Sonia	^	IV
open	V	IV
to	P	IV
similiar	A	OOV
attacks	V	IV
			
Akademiks	^	IV
Avirex	^	IV
stash	N	IV
house	N	IV
Dada	^	IV
Artful	A	OOV
Dodger	N	OOV
LRG	!	OOV
Ecko	^	IV
the	D	IV
list	N	IV
goes	V	IV
on	P	IV
That	O	IV
was	V	IV
me	O	IV
			
@kb32904	@	IV
Ha	!	IV
!	,	IV
Labour	N	OOV
v	!	IV
weak	A	IV
round	N	IV
Lizard	N	OOV
Point	N	IV
now	R	IV
you	O	IV
mention	V	IV
it	O	IV
			
RT	~	IV
@EXOcastle	@	IV
:	,	IV
[	,	IV
PREVIEW	N	OOV
]	,	IV
140524	$	IV
Sehun	^	IV
,	,	IV
Suho	^	IV
today	N	IV
|cr	N	OOV
:	,	IV
BOB_SUHO	^	IV
http://t.co/7l9M5X7Na6	U	IV
			
Haha	!	OOV
!	,	IV
LOL	!	OOV
...	~	OOV
"	,	IV
@efsonenoch	@	IV
:	,	IV
@N_Pazl	@	IV
Please	V	OOV
Please	V	OOV
Nana	!	IV
,	,	IV
dont	V	IV
call	V	IV
me	O	IV
boss	N	IV
again	R	IV
.	,	IV
PLEASE	V	OOV
!!	,	IV
"	,	IV
			
RT	~	IV
@Kokaneofficial	@	IV
:	,	IV
I'll	L	IV
b	V	IV
in	P	IV
Vegas	^	IV
on	P	IV
26	$	IV
&	&	OOV
27th	$	IV
of	P	IV
this	O	IV
month	N	IV
SHOOTING	V	OOV
A	D	IV
VIDEO	N	OOV
....	,	IV
HALLA	!	OOV
IF	P	IV
U	O	IV
NEED	V	OOV
DAT	O	IV
KOKANE	^	IV
FEATURE	N	OOV
...	~	OOV
			
Some	D	IV
QPR	^	IV
fans	N	IV
at	P	IV
Heathrow	^	IV
.	,	IV
Weird	A	OOV
way	N	IV
to	P	IV
get	V	IV
back	R	IV
to	P	IV
west	!	IV
london	^	IV
			
@ogdaniela_	@	IV
thank	V	IV
u	O	IV
!!!	,	IV
omg	!	OOV
ur	L	IV
even	R	IV
prettier	A	IV
			
I	O	IV
say	V	IV
wateva	!	OOV
cums	V	IV
to	P	IV
mind	N	IV
dats	L	IV
jus	R	IV
how	R	IV
i	O	IV
am	V	IV
so	R	IV
if	P	IV
u	O	IV
dnt	V	OOV
wanna	V	IV
hear	V	IV
it	O	IV
dnt	V	OOV
listen	V	IV
or	&	IV
ask	V	IV
for	P	IV
my	D	IV
opinion	N	IV
#REAL	#	IV
			
Whatchu	L	OOV
kno	!	IV
bout	P	IV
them	O	IV
hiccup	N	IV
bitches	N	IV
lls	!	IV
			
RT	~	IV
@ItsAKBeats	@	IV
:	,	IV
Lil	A	IV
B	N	IV
had	V	IV
it	O	IV
rougher	A	IV
-	,	IV
slavery	N	IV
			
if-lost-return-to-awesome	P	OOV
asked	V	IV
:	,	IV
Before	P	OOV
I	O	IV
read	V	IV
Homestuck	N	OOV
I	O	IV
thought	V	IV
that	O	IV
Equius	^	IV
and	&	IV
Nepeta	!	OOV
were	V	IV
brother	N	IV
and	&	IV
...	~	OOV
http://t.co/i534TvRbdh	U	IV
			
I'm	L	IV
tired	A	IV
of	P	IV
seeing	V	IV
LSU	^	IV
face	N	IV
Fck	!	OOV
.	,	IV
			
@TheMattEspinosa	@	IV
@camerondallas	@	IV
@Nashgrier	@	IV
@Mr_Carterr	@	IV
baes	N	OOV
were	V	IV
about	P	IV
to	P	IV
be	V	IV
reunited	V	IV
tomorrow	N	IV
are	V	IV
u	O	IV
ready	A	IV
?!?!	,	IV
http://t.co/XqNFqHpVlc	U	IV
			
MY	D	OOV
CRUSH	N	OOV
FOLLOWED	V	OOV
ME	O	IV
BSCK	!	OOV
ON	P	IV
INSTAGRAM	^	IV
THIS	D	OOV
IS	V	IV
NOT	R	OOV
A	D	IV
DRILL	N	OOV
GUYS	N	OOV
OMFG	!	OOV
IM	L	IV
SWEATING	V	OOV
HOLY	!	OOV
SHIT	N	OOV
WOW	!	OOV
OMG	!	OOV
WHAT	O	OOV
IS	V	IV
THIS	D	OOV
FUCK	!	OOV
			
RT	~	IV
@Alvin_EeQ	@	IV
:	,	IV
Yosh	!	OOV
Followers	N	OOV
Instagram	^	IV
PROMO	N	OOV
1000follow	$	IV
instagram	^	IV
:	,	IV
80rb	!	OOV
Via	!	IV
Pulsa	!	OOV
XL	!	IV
Proses	N	OOV
1-2	$	IV
Hari	!	IV
pin	N	IV
:	,	IV
2b806641	!	OOV
			
RT	~	IV
@CanadiensMTL	@	IV
:	,	IV
59	$	IV
.	,	IV
Sourires	^	IV
contagieux	!	OOV
.	,	IV
/	,	IV
Smiles	V	OOV
run	V	IV
in	P	IV
the	D	IV
family	N	IV
#NHL15Subban	#	IV
#76minchallenge	#	IV
#defi76minutes	#	IV
http://t.co/emoLtzzBml	U	IV
			
#Dreadlockrasta	#	IV
with	P	IV
no	!	IV
Trees	N	OOV
lol	!	IV
dats	L	IV
unique	A	IV
...	~	OOV
			
@MollieJo97	@	IV
aw	!	IV
armo	!	IV
youre	L	OOV
lush	A	IV
,	,	IV
dont	V	IV
let	V	IV
him	O	IV
get	V	IV
to	P	IV
you	O	IV
xx	E	IV
			
http://t.co/GlTW5gcnuO	U	IV
#9	#	IV
:	,	IV
Green	A	IV
Camo	^	IV
Braided	A	OOV
Headband	N	OOV
Green	A	IV
Camo	^	IV
Braided	A	OOV
Headbandby	!	OOV
Fabulicious	^	IV
Elastic	A	OOV
Headb	^	IV
...	~	OOV
http://t.co/lOZuZaVKcw	U	IV
			
hahaha	!	OOV
...	~	OOV
cute	A	IV
ng	!	IV
baby	N	IV
ko	!	IV
!..	,	IV
#prouddaddy	#	IV
#cutebaby	#	IV
http://t.co/qO1c26IEZD	U	IV
			
@siti_malinee	@	IV
your	D	IV
future	N	IV
are	V	IV
good	A	IV
!	,	IV
Keep	V	OOV
it	O	IV
up	T	IV
melanie	^	IV
.	,	IV
Make	V	IV
it	O	IV
happen	V	IV
!	,	IV
Aku	!	OOV
doakan	!	OOV
:)	E	OOV
			
RT	~	IV
@passantino	@	IV
:	,	IV
Interfax	^	IV
:	,	IV
rebel	N	IV
leader	N	IV
in	P	IV
eastern	^	IV
Ukraine	^	IV
says	V	IV
his	D	IV
men	N	IV
are	V	IV
holding	V	IV
OSCE	^	IV
observers	N	IV
-	,	IV
AP	^	IV
			
@jjustinlimmm	@	IV
at	P	IV
the	D	IV
SAJC	^	IV
side	N	IV
hahaha	!	OOV
			
You	O	IV
can	V	IV
blame	V	IV
me	O	IV
for	P	IV
everything	N	IV
,	,	IV
and	&	IV
Idk	L	OOV
how	R	IV
ima	L	IV
manage	V	IV
if	P	IV
one	$	IV
day	N	IV
you	O	IV
just	R	IV
up	T	IV
and	&	IV
leave	V	IV
...	~	OOV
Kanye	^	IV
a	D	IV
musical	A	IV
genius	N	IV
bruh	N	OOV
.	,	IV
			
hiiii	!	OOV
i	O	IV
have	V	IV
a	D	IV
doctors	N	IV
appointment	N	IV
so	R	IV
im	L	IV
missing	V	IV
some	D	IV
classes	N	IV
:)	E	OOV
wuddup	!	OOV
.	,	IV
			
@ITSRETRORALPH	@	IV
lmao	!	OOV
you	O	IV
think	V	IV
I'm	L	IV
going	V	IV
to	P	IV
get	V	IV
tickt	!	IV
off	T	IV
?	,	IV
Lmao	!	OOV
			
RT	~	IV
@MYE0NGS00	@	IV
:	,	IV
aww	!	IV
hoya's	!	OOV
video	N	IV
message	N	IV
to	P	IV
seo	!	IV
in	P	IV
guk	!	OOV
to	P	IV
support	N	IV
his	D	IV
fanmeet	N	OOV
in	P	IV
taiwan	^	IV
http://t.co/tB5BFZvtYx	U	IV
			
RT	~	IV
@TVZNews	@	IV
:	,	IV
TOP	A	OOV
SINGLES	N	OOV
DA	D	IV
SEMANA	!	OOV
:	,	IV
#15	#	IV
Ellie	^	IV
Goulding	^	IV
-	,	IV
Beating	V	OOV
Heart	N	OOV
:	,	IV
http://t.co/gGLUz46f5T	U	IV
			
Flyod	^	IV
Mayweather	^	IV
&	&	OOV
T.I.	^	IV
fights	V	IV
in	P	IV
Los	^	IV
Vegas	^	IV
;-)	E	OOV
http://t.co/udekPtfYfF	U	IV
			
RT	~	IV
@_maryyroses	@	IV
:	,	IV
I	O	IV
need	V	IV
Chipotle	^	IV
or	&	IV
Chick	N	IV
Fil	V	IV
A	D	IV
for	P	IV
dinner	N	IV
			
No-Soap	!	OOV
,	,	IV
No-Shampoo	!	OOV
,	,	IV
Bacteria-Rich	N	OOV
Hygiene	N	OOV
Experiment	N	OOV
:	,	IV
PIC	N	OOV
:	,	IV
AOBIOME	!	OOV
(	,	IV
