#MLRT	#	IV	5	#ML	LRT
wellllll	!	OOV	8	wel	lll
that	O	IV	4	tha	hat
was	V	IV	3	was	was
your	D	IV	4	you	our
fault	N	IV	5	fau	ult
(	,	IV	1	(	(
x	E	IV	1	x	x
			
@Leez_Suave	@	IV	11	@Le	ave
real	A	IV	4	rea	eal
shit	N	IV	4	shi	hit
dawg	N	OOV	4	daw	awg
...	~	OOV	3	...	...
Jawns	N	OOV	5	Jaw	wns
blow	N	IV	4	blo	low
me	O	IV	2	me	me
			
Give	V	OOV	4	Giv	ive
me	O	IV	2	me	me
FaceTime	^	IV	8	Fac	ime
girl	N	IV	4	gir	irl
stoopp	V	OOV	6	sto	opp
playing	V	IV	7	pla	ing
			
Back	R	IV	4	Bac	ack
to	P	IV	2	to	to
reality	N	IV	7	rea	ity
.	,	IV	1	.	.
Meh	!	OOV	3	Meh	Meh
(@	P	OOV	2	(@	(@
Cyberia	!	OOV	7	Cyb	ria
TownVilla	!	OOV	9	Tow	lla
)	,	IV	1	)	)
http://t.co/7bVor9aMsj	U	IV	22	htt	Msj
			
It	O	IV	2	It	It
took	V	IV	4	too	ook
me	O	IV	2	me	me
a	D	IV	1	a	a
while	P	IV	5	whi	ile
to	P	IV	2	to	to
get	V	IV	3	get	get
my	D	IV	2	my	my
lil	A	IV	3	lil	lil
27k	$	IV	3	27k	27k
tweets	N	IV	6	twe	ets
lol	!	IV	3	lol	lol
			
RT	~	IV	2	RT	RT
@ShawnMendes	@	IV	12	@Sh	des
:	,	IV	1	:	:
Feelin	V	OOV	6	Fee	lin
this	O	IV	4	thi	his
..	,	IV	2	..	..
What	O	OOV	4	Wha	hat
do	V	IV	2	do	do
u	O	IV	1	u	u
think	V	IV	5	thi	ink
?	,	IV	1	?	?
Catchy	A	OOV	6	Cat	chy
?	,	IV	1	?	?
https://t.co/xHyjGhiUWB	U	IV	23	htt	UWB
			
@timesnow	@	IV	9	@ti	now
.	,	IV	1	.	.
J&K	^	IV	3	J&K	J&K
ppl	N	IV	3	ppl	ppl
have	V	IV	4	hav	ave
suffered	V	IV	8	suf	red
inspite	!	OOV	7	ins	ite
of	P	IV	2	of	of
&	&	OOV	1	&	&
not	R	IV	3	not	not
due	A	IV	3	due	due
to	P	IV	2	to	to
lack	N	IV	4	lac	ack
of	P	IV	2	of	of
art	N	IV	3	art	art
370	$	IV	3	370	370
which	D	IV	5	whi	ich
provdes	N	OOV	7	pro	des
protection	N	IV	10	pro	ion
to	P	IV	2	to	to
pol	N	IV	3	pol	pol
ldrs	N	OOV	4	ldr	drs
on	P	IV	2	on	on
issues	N	IV	6	iss	ues
of	P	IV	2	of	of
accountability	N	IV	14	acc	ity
.	,	IV	1	.	.
			
"	,	IV	1	"	"
Bitch	N	OOV	5	Bit	tch
I'm	L	IV	3	I'm	I'm
m	!	IV	1	m	m
from	P	IV	4	fro	rom
Tecs	^	IV	4	Tec	ecs
Sus	A	IV	3	Sus	Sus
"	,	IV	1	"	"
			
Bohot	!	OOV	5	Boh	hot
Mazak	!	OOV	5	Maz	zak
Uda	^	IV	3	Uda	Uda
Li	^	IV	2	Li	Li
Girls	N	OOV	5	Gir	rls
ki	^	IV	2	ki	ki
..	,	IV	2	..	..
But	&	IV	3	But	But
This	D	IV	4	Thi	his
Time	N	IV	4	Tim	ime
Serious	A	OOV	7	Ser	ous
..	,	IV	2	..	..
.	,	IV	1	.	.
.	,	IV	1	.	.
True	A	OOV	4	Tru	rue
Lines	N	OOV	5	Lin	nes
..!!!	,	IV	5	..!	!!!
Only	R	OOV	4	Onl	nly
Girls	N	OOV	5	Gir	rls
Have	V	IV	4	Hav	ave
The	D	IV	3	The	The
Super	R	IV	5	Sup	per
Power	N	IV	5	Pow	wer
.	,	IV	1	.	.
To	P	IV	2	To	To
...	~	OOV	3	...	...
http://t.co/PrV9opl33A	U	IV	22	htt	33A
			
RT	~	IV	2	RT	RT
@btobjaeys	@	IV	10	@bt	eys
:	,	IV	1	:	:
#openfollow	#	IV	11	#op	low
for	P	IV	3	for	for
rp	!	IV	2	rp	rp
,	,	IV	1	,	,
esp	!	IV	3	esp	esp
member	N	IV	6	mem	ber
btob	^	IV	4	bto	tob
.	,	IV	1	.	.
Liat	^	IV	4	Lia	iat
bantu	!	OOV	5	ban	ntu
rt	~	IV	2	rt	rt
quote	N	IV	5	quo	ote
			
Ano	!	IV	3	Ano	Ano
guys	N	IV	4	guy	uys
ASAP	!	IV	4	ASA	SAP
tpos	^	IV	4	tpo	pos
diretso	!	OOV	7	dir	tso
The	D	IV	3	The	The
Buzz	N	OOV	4	Buz	uzz
?	,	IV	1	?	?
#adventureto	#	IV	12	#ad	eto
ulit	!	IV	4	uli	lit
?	,	IV	1	?	?
LOL	!	OOV	3	LOL	LOL
.	,	IV	1	.	.
@ANNIEngkaySarah	@	IV	16	@AN	rah
@0212kaori	@	IV	10	@02	ori
@sarahg_lover	@	IV	13	@sa	ver
			
Homie	N	OOV	5	Hom	mie
I'm	L	IV	3	I'm	I'm
just	R	IV	4	jus	ust
triple	A	IV	6	tri	ple
beam	N	IV	4	bea	eam
dreamin	V	IV	7	dre	min
			
RT	~	IV	2	RT	RT
@ChenBaekHun	@	IV	12	@Ch	Hun
:	,	IV	1	:	:
"	,	IV	1	"	"
while	P	IV	5	whi	ile
everyone	N	IV	8	eve	one
said	V	IV	4	sai	aid
"	,	IV	1	"	"
2NE1	^	IV	4	2NE	NE1
"	,	IV	1	"	"
chanyeol	^	IV	8	cha	eol
said	V	IV	4	sai	aid
:	,	IV	1	:	:
SNSD	^	IV	4	SNS	NSD
are	V	IV	3	are	are
my	D	IV	2	my	my
seniors	N	IV	7	sen	ors
so	R	IV	2	so	so
i	O	IV	1	i	i
will	V	IV	4	wil	ill
vote	V	IV	4	vot	ote
for	P	IV	3	for	for
them	O	IV	4	the	hem
Pmsl	!	OOV	4	Pms	msl
http://t.co/bMnRuMdyfz	U	IV	22	htt	yfz
			
@tesialai2000	@	IV	13	@te	000
come	V	IV	4	com	ome
la	^	IV	2	la	la
hahaha	!	OOV	6	hah	aha
...	~	OOV	3	...	...
Sinyao	!	OOV	6	Sin	yao
tuition	N	IV	7	tui	ion
here	R	IV	4	her	ere
also	R	IV	4	als	lso
....	,	IV	4	...	...
Come	V	IV	4	Com	ome
come	V	IV	4	com	ome
XD	E	OOV	2	XD	XD
haha	!	IV	4	hah	aha
you	O	IV	3	you	you
at	P	IV	2	at	at
least	A	IV	5	lea	ast
at	P	IV	2	at	at
home	N	IV	4	hom	ome
			
RT	~	IV	2	RT	RT
@Oceanblue0209	@	IV	14	@Oc	209
:	,	IV	1	:	:
An	D	IV	2	An	An
interview	N	IV	9	int	iew
with	P	IV	4	wit	ith
Audi	^	IV	4	Aud	udi
Marketing	N	OOV	9	Mar	ing
Director	N	OOV	8	Dir	tor
Jorg	^	IV	4	Jor	org
Dietzel	!	OOV	7	Die	zel
-	,	IV	1	-	-
Warm	A	OOV	4	War	arm
and	&	IV	3	and	and
kind	N	IV	4	kin	ind
hearted	!	IV	7	hea	ted
Choi	^	IV	4	Cho	hoi
Siwon	^	IV	5	Siw	won
^^	E	OOV	2	^^	^^
http://t.co/W1xYuS3rDv	U	IV	22	htt	rDv
			
"	,	IV	1	"	"
@X_DoesEpicShit	@	IV	15	@X_	hit
:	,	IV	1	:	:
Who	O	OOV	3	Who	Who
Ever	R	IV	4	Eve	ver
Makes	V	OOV	5	Mak	kes
It	O	IV	2	It	It
To	P	IV	2	To	To
The	D	IV	3	The	The
Finals	N	OOV	6	Fin	als
In	P	IV	2	In	In
The	D	IV	3	The	The
West	^	IV	4	Wes	est
Is	V	IV	2	Is	Is
Beating	V	OOV	7	Bea	ing
Miami	^	IV	5	Mia	ami
"	,	IV	1	"	"
lmaoo	!	OOV	5	lma	aoo
u	O	IV	1	u	u
throw	V	IV	5	thr	row
the	D	IV	3	the	the
most	R	IV	4	mos	ost
shade	N	IV	5	sha	ade
lmaoo	!	OOV	5	lma	aoo
			
OMG	!	OOV	3	OMG	OMG
CMON	!	OOV	4	CMO	MON
PACERS	N	OOV	6	PAC	ERS
BRUH	N	OOV	4	BRU	RUH
HOW	R	OOV	3	HOW	HOW
THE	D	OOV	3	THE	THE
FUCK	!	OOV	4	FUC	UCK
!!	,	IV	2	!!	!!
you	O	IV	3	you	you
let	V	IV	3	let	let
them	O	IV	4	the	hem
get	V	IV	3	get	get
this	O	IV	4	thi	his
lead	V	IV	4	lea	ead
			
@minquannn	@	IV	10	@mi	nnn
Haha	!	OOV	4	Hah	aha
mq	!	IV	2	mq	mq
pls	!	OOV	3	pls	pls
as	P	IV	2	as	as
easy	A	IV	4	eas	asy
as	P	IV	2	as	as
doto	!	IV	4	dot	oto
for	P	IV	3	for	for
me	O	IV	2	me	me
#feedforlife	#	IV	12	#fe	ife
			
literally	R	IV	9	lit	lly
shedding	V	IV	8	she	ing
tears	N	IV	5	tea	ars
rn	!	IV	2	rn	rn
omg	!	OOV	3	omg	omg
so	R	IV	2	so	so
kawaii	^	IV	6	kaw	aii
			
Ol	A	IV	2	Ol	Ol
dude	N	IV	4	dud	ude
from	P	IV	4	fro	rom
Henry	^	IV	5	Hen	nry
Clay	^	IV	4	Cla	lay
wanted	V	IV	6	wan	ted
to	P	IV	2	to	to
talk	V	IV	4	tal	alk
a	D	IV	1	a	a
lil	A	IV	3	lil	lil
shit	N	IV	4	shi	hit
about	P	IV	5	abo	out
them	O	IV	4	the	hem
winning	V	IV	7	win	ing
state	N	IV	5	sta	ate
lol	!	IV	3	lol	lol
...	~	OOV	3	...	...
well	!	IV	4	wel	ell
the	D	IV	3	the	the
results	N	IV	7	res	lts
are	V	IV	3	are	are
out	T	IV	3	out	out
there	R	IV	5	the	ere
			
.	,	IV	1	.	.
@UmarCheema1	@	IV	12	@Um	ma1
Maybe	R	OOV	5	May	ybe
he	O	IV	2	he	he
was	V	IV	3	was	was
told	V	IV	4	tol	old
by	P	IV	2	by	by
"	,	IV	1	"	"
Faal	G	OOV	4	Faa	aal
wala	!	IV	4	wal	ala
Tota	^	IV	4	Tot	ota
"	,	IV	1	"	"
			
My	D	IV	2	My	My
thirsty	A	IV	7	thi	sty
ass	N	IV	3	ass	ass
tryna	V	OOV	5	try	yna
take	V	IV	4	tak	ake
a	D	IV	1	a	a
nap	N	IV	3	nap	nap
right	!	IV	5	rig	ght
now	R	IV	3	now	now
lol	!	IV	3	lol	lol
,	,	IV	1	,	,
I	O	IV	1	I	I
mean	V	IV	4	mea	ean
I	O	IV	1	I	I
go	V	IV	2	go	go
home	N	IV	4	hom	ome
at	P	IV	2	at	at
11	$	IV	2	11	11
???	,	IV	3	???	???
			
RT	~	IV	2	RT	RT
@NBAFollowTrain	@	IV	15	@NB	ain
:	,	IV	1	:	:
RT	~	IV	2	RT	RT
for	P	IV	3	for	for
Michael	^	IV	7	Mic	ael
Jordan	^	IV	6	Jor	dan
FAV	!	OOV	3	FAV	FAV
for	P	IV	3	for	for
LeBron	^	IV	6	LeB	ron
James	^	IV	5	Jam	mes
http://t.co/CWhG5cr95Q	U	IV	22	htt	95Q
			
RT	~	IV	2	RT	RT
@Cum_n_mybooty	@	IV	14	@Cu	oty
:	,	IV	1	:	:
Keep	V	OOV	4	Kee	eep
the	D	IV	3	the	the
jokes	N	IV	5	jok	kes
coming	V	IV	6	com	ing
I'm	L	IV	3	I'm	I'm
retweeting	!	OOV	10	ret	ing
the	D	IV	3	the	the
funny	A	IV	5	fun	nny
ones	N	IV	4	one	nes
lol	!	IV	3	lol	lol
			
Photoset	N	OOV	8	Pho	set
:	,	IV	1	:	:
thewicked-ivy	N	OOV	13	the	ivy
:	,	IV	1	:	:
rape	N	IV	4	rap	ape
TW	G	IV	2	TW	TW
Annalynne	^	IV	9	Ann	nne
McCord	^	IV	6	McC	ord
revealed	V	IV	8	rev	led
she	O	IV	3	she	she
was	V	IV	3	was	was
abused	V	IV	6	abu	sed
.	,	IV	1	.	.
and	&	IV	3	and	and
these	D	IV	5	the	ese
were	V	IV	4	wer	ere
some	D	IV	4	som	ome
of	P	IV	2	of	of
the	D	IV	3	the	the
...	~	OOV	3	...	...
http://t.co/ixx7Nh7vBk	U	IV	22	htt	vBk
			
Happy	A	OOV	5	Hap	ppy
birthday	N	IV	8	bir	day
brooo	N	OOV	5	bro	ooo
!!!!!....	,	IV	9	!!!	...
wish	V	IV	4	wis	ish
u	O	IV	1	u	u
all	D	IV	3	all	all
d	!	IV	1	d	d
best	A	IV	4	bes	est
..	,	IV	2	..	..
may	V	IV	3	may	may
allah	^	IV	5	all	lah
blessing	N	IV	8	ble	ing
u	O	IV	1	u	u
all	D	IV	3	all	all
the	D	IV	3	the	the
time	N	IV	4	tim	ime
...	~	OOV	3	...	...
glad	A	IV	4	gla	lad
for	P	IV	3	for	for
u	O	IV	1	u	u
..	,	IV	2	..	..
http://t.co/CFqtsLjkYN	U	IV	22	htt	kYN
			
RT	~	IV	2	RT	RT
@AllFootballLive	@	IV	16	@Al	ive
:	,	IV	1	:	:
Xabi	^	IV	4	Xab	abi
Alonso	^	IV	6	Alo	nso
just	R	IV	4	jus	ust
achieved	V	IV	8	ach	ved
stratospheric	A	IV	13	str	ric
heights	N	IV	7	hei	hts
of	P	IV	2	of	of
coolness	N	IV	8	coo	ess
.	,	IV	1	.	.
http://t.co/rA4xKZqqWB	U	IV	22	htt	qWB
			
RT	~	IV	2	RT	RT
@NarryMyDream	@	IV	13	@Na	eam
:	,	IV	1	:	:
IT	O	IV	2	IT	IT
ALL	D	OOV	3	ALL	ALL
WRKED	V	OOV	5	WRK	KED
OUT	T	OOV	3	OUT	OUT
NIALL	^	IV	5	NIA	ALL
.	,	IV	1	.	.
#YOUDIDITNIALL	#	IV	14	#YO	ALL
http://t.co/pjcDXMZ4yM	U	IV	22	htt	4yM
			
RT	~	IV	2	RT	RT
@electionista	@	IV	13	@el	sta
:	,	IV	1	:	:
#EP2014	#	IV	7	#EP	014
-	,	IV	1	-	-
France	^	IV	6	Fra	nce
Ifop	^	IV	4	Ifo	fop
projection	N	IV	10	pro	ion
:	,	IV	1	:	:
FN	!	IV	2	FN	FN
25%	$	IV	3	25%	25%
UMP	N	OOV	3	UMP	UMP
20.6%	$	IV	5	20.	.6%
PS	!	IV	2	PS	PS
14.2%	$	IV	5	14.	.2%
UDI-MoDem	G	OOV	9	UDI	Dem
10.4%	$	IV	5	10.	.4%
EELV	!	OOV	4	EEL	ELV
9.3%	$	IV	4	9.3	.3%
FdG	!	OOV	3	FdG	FdG
6%	$	IV	2	6%	6%
			
GO	!	IV	2	GO	GO
ON	P	IV	2	ON	ON
THE	D	OOV	3	THE	THE
WEBSIDE	N	OOV	7	WEB	IDE
TO	P	IV	2	TO	TO
THE	D	OOV	3	THE	THE
MAIN	A	OOV	4	MAI	AIN
STGE	!	OOV	4	STG	TGE
THEYRE	L	OOV	6	THE	YRE
PLAYING	V	OOV	7	PLA	ING
IT	O	IV	2	IT	IT
IN	P	IV	2	IN	IN
THE	D	OOV	3	THE	THE
BACKGROUND	N	OOV	10	BAC	UND
!!!	,	IV	3	!!!	!!!
			
RT	~	IV	2	RT	RT
@byunbhyn	@	IV	9	@by	hyn
:	,	IV	1	:	:
#Openfollow	#	IV	11	#Op	low
buat	!	OOV	4	bua	uat
rp	!	IV	2	rp	rp
exo	^	IV	3	exo	exo
only	R	IV	4	onl	nly
help	V	IV	4	hel	elp
rt	~	IV	2	rt	rt
			
if	P	IV	2	if	if
wearing	V	IV	7	wea	ing
a	D	IV	1	a	a
bindi	^	IV	5	bin	ndi
is	V	IV	2	is	is
racist	A	IV	6	rac	ist
u	O	IV	1	u	u
better	A	IV	6	bet	ter
tell	V	IV	4	tel	ell
these	D	IV	5	the	ese
white	A	IV	5	whi	ite
girls	N	IV	5	gir	rls
to	P	IV	2	to	to
stop	V	IV	4	sto	top
cornrowing	!	IV	10	cor	ing
their	D	IV	5	the	eir
musty	A	IV	5	mus	sty
ass	N	IV	3	ass	ass
hair	N	IV	4	hai	air
			
don't	V	IV	5	don	n't
forget	V	IV	6	for	get
your	D	IV	4	you	our
dinner	N	IV	6	din	ner
"	,	IV	1	"	"
@hyoraengiie	@	IV	12	@hy	iie
:	,	IV	1	:	:
goodevening	!	OOV	11	goo	ing
too	R	IV	3	too	too
"	,	IV	1	"	"
@luexaio	@	IV	8	@lu	aio
:	,	IV	1	:	:
Goodevening	!	OOV	11	Goo	ing
""	,	IV	2	""	""
			
RT	~	IV	2	RT	RT
@ohourstyles	@	IV	12	@oh	les
:	,	IV	1	:	:
louis	^	IV	5	lou	uis
tomlinson	^	IV	9	tom	son
is	V	IV	2	is	is
so	R	IV	2	so	so
lucky	A	IV	5	luc	cky
that	O	IV	4	tha	hat
he	O	IV	2	he	he
can	V	IV	3	can	can
touch	N	IV	5	tou	uch
louis	^	IV	5	lou	uis
tomlinson	^	IV	9	tom	son
that	O	IV	4	tha	hat
way	N	IV	3	way	way
http://t.co/WpJ3805h4B	U	IV	22	htt	h4B
			
RT	~	IV	2	RT	RT
@ComedyOrTruth	@	IV	14	@Co	uth
:	,	IV	1	:	:
when	R	IV	4	whe	hen
u	O	IV	1	u	u
see	V	IV	3	see	see
bae	N	IV	3	bae	bae
tweeting	V	IV	8	twe	ing
someone	N	IV	7	som	one
else	R	IV	4	els	lse
http://t.co/OX1P407oVr	U	IV	22	htt	oVr
			
RT	~	IV	2	RT	RT
@MarioPalush	@	IV	12	@Ma	ush
:	,	IV	1	:	:
when	R	IV	4	whe	hen
someone	N	IV	7	som	one
huggin	V	IV	6	hug	gin
'	,	IV	1	'	'
bae	N	IV	3	bae	bae
for	P	IV	3	for	for
little	A	IV	6	lit	tle
too	R	IV	3	too	too
long	A	IV	4	lon	ong
http://t.co/D3bwIE7mAr	U	IV	22	htt	mAr
			
RT	~	IV	2	RT	RT
@Demberel_S	@	IV	11	@De	l_S
:	,	IV	1	:	:
Manan	^	IV	5	Man	nan
dund	!	IV	4	dun	und
xaragdax	^	IV	8	xar	dax
ter	G	IV	3	ter	ter
uuliin	!	OOV	6	uul	iin
oroid	!	IV	5	oro	oid
minii	!	OOV	5	min	nii
aav	!	OOV	3	aav	aav
xezee	^	IV	5	xez	zee
neg	!	IV	3	neg	neg
cagt	!	OOV	4	cag	agt
zogsoj	!	OOV	6	zog	soj
baisan	!	OOV	6	bai	san
...	~	OOV	3	...	...
photo	N	IV	5	pho	oto
by	P	IV	2	by	by
@Erdenebatts	@	IV	12	@Er	tts
http://t.co/IcxOsLtFqy	U	IV	22	htt	Fqy
			
Bottles	N	OOV	7	Bot	les
of	P	IV	2	of	of
coke	N	IV	4	cok	oke
are	V	IV	3	are	are
normally	R	IV	8	nor	lly
nice	A	IV	4	nic	ice
,	,	IV	1	,	,
this	O	IV	4	thi	his
one	$	IV	3	one	one
tastes	V	IV	6	tas	tes
abit	!	IV	4	abi	bit
watery	A	IV	6	wat	ery
,	,	IV	1	,	,
eugh	!	IV	4	eug	ugh
			
@tay1o	@	IV	6	@ta	y1o
still	R	IV	5	sti	ill
whoopin	N	IV	7	who	pin
that	O	IV	4	tha	hat
hoe	!	IV	3	hoe	hoe
and	&	IV	3	and	and
the	D	IV	3	the	the
teachers	N	IV	8	tea	ers
just	R	IV	4	jus	ust
walking	V	IV	7	wal	ing
along	P	IV	5	alo	ong
lmao	!	OOV	4	lma	mao
			
RT	~	IV	2	RT	RT
@femaIes	@	IV	8	@fe	Ies
:	,	IV	1	:	:
when	R	IV	4	whe	hen
u	O	IV	1	u	u
mad	A	IV	3	mad	mad
at	P	IV	2	at	at
bae	N	IV	3	bae	bae
http://t.co/Db8rW2gK7f	U	IV	22	htt	K7f
			
RT	~	IV	2	RT	RT
@EXOffical_	@	IV	11	@EX	al_
:	,	IV	1	:	:
Chanyeol	^	IV	8	Cha	eol
is	V	IV	2	is	is
so	R	IV	2	so	so
caring	V	IV	6	car	ing
.	,	IV	1	.	.
Omg	!	OOV	3	Omg	Omg
be	V	IV	2	be	be
mine	O	IV	4	min	ine
pls	!	OOV	3	pls	pls
;;	,	IV	2	;;	;;
http://t.co/3TnYaT7je6	U	IV	22	htt	je6
			
I'm	L	IV	3	I'm	I'm
gunna	V	OOV	5	gun	nna
be	V	IV	2	be	be
skinny	A	IV	6	ski	nny
minny	^	IV	5	min	nny
all	D	IV	3	all	all
my	D	IV	2	my	my
life	N	IV	4	lif	ife
			
RT	~	IV	2	RT	RT
@NiallOfficial	@	IV	14	@Ni	ial
:	,	IV	1	:	:
Dressin	V	OOV	7	Dre	sin
room	N	IV	4	roo	oom
shenanigans	N	IV	11	she	ans
!	,	IV	1	!	!
With	P	OOV	4	Wit	ith
harrystyles	!	OOV	11	har	les
http://t.co/xDUPSTtIot	U	IV	22	htt	Iot
			
this	O	IV	4	thi	his
summer	N	IV	6	sum	mer
i	O	IV	1	i	i
want	V	IV	4	wan	ant
to	P	IV	2	to	to
re-teach	N	OOV	8	re-	ach
myself	O	IV	6	mys	elf
the	D	IV	3	the	the
guitar	^	IV	6	gui	tar
and	&	IV	3	and	and
to	P	IV	2	to	to
get	V	IV	3	get	get
hot	A	IV	3	hot	hot
thats	L	OOV	5	tha	ats
happening	V	IV	9	hap	ing
im	L	IV	2	im	im
making	V	IV	6	mak	ing
it	O	IV	2	it	it
happen	V	IV	6	hap	pen
			
I	O	IV	1	I	I
really	R	IV	6	rea	lly
miss	V	IV	4	mis	iss
texting	V	OOV	7	tex	ing
on	P	IV	2	on	on
my	D	IV	2	my	my
old	A	IV	3	old	old
Voyager	N	IV	7	Voy	ger
tbh	!	OOV	3	tbh	tbh
			
http://t.co/kwsK8LD3ez	U	IV	22	htt	3ez
#8	#	IV	2	#8	#8
:	,	IV	1	:	:
Logitech	^	IV	8	Log	ech
Wireless	N	OOV	8	Wir	ess
Microphone	N	OOV	10	Mic	one
-	,	IV	1	-	-
Playstation	^	IV	11	Pla	ion
3	$	IV	1	3	3
Logitech	^	IV	8	Log	ech
Wireless	N	OOV	8	Wir	ess
Microphone	N	OOV	10	Mic	one
-	,	IV	1	-	-
Playsta	^	IV	7	Pla	sta
...	~	OOV	3	...	...
http://t.co/IjsZa1TOZ7	U	IV	22	htt	OZ7
			
@jbeavrrs	@	IV	9	@jb	rrs
whatchu	L	OOV	7	wha	chu
tryn	V	OOV	4	try	ryn
do	V	IV	2	do	do
..	,	IV	2	..	..
DM	N	IV	2	DM	DM
me	O	IV	2	me	me
fam	N	IV	3	fam	fam
			
PSG	^	IV	3	PSG	PSG
'	,	IV	1	'	'
merit	N	IV	5	mer	rit
ban	N	IV	3	ban	ban
for	P	IV	3	for	for
disability	N	IV	10	dis	ity
abuse	N	IV	5	abu	use
'	,	IV	1	'	'
:	,	IV	1	:	:
Uefa	^	IV	4	Uef	efa
should	V	IV	6	sho	uld
look	V	IV	4	loo	ook
at	P	IV	2	at	at
throwing	V	IV	8	thr	ing
Paris	^	IV	5	Par	ris
St-German	^	IV	9	St-	man
out	T	IV	3	out	out
of	P	IV	2	of	of
the	D	IV	3	the	the
Champions	N	OOV	9	Cha	ons
League	^	IV	6	Lea	gue
if	P	IV	2	if	if
their	D	IV	5	the	eir
fans	N	IV	4	fan	ans
are	V	IV	3	are	are
foun	!	IV	4	fou	oun
...	~	OOV	3	...	...
			
@tanysha_montano	@	IV	16	@ta	ano
haha	!	IV	4	hah	aha
y'all	O	IV	5	y'a	all
all	D	IV	3	all	all
took	V	IV	4	too	ook
off	T	IV	3	off	off
running	V	IV	7	run	ing
hahaha	!	OOV	6	hah	aha
			
@AJology	@	IV	8	@AJ	ogy
Bruh	N	OOV	4	Bru	ruh
I	O	IV	1	I	I
just	R	IV	4	jus	ust
called	V	IV	6	cal	led
your	D	IV	4	you	our
number	N	IV	6	num	ber
and	&	IV	3	and	and
a	D	IV	1	a	a
Mexican	^	IV	7	Mex	can
lady	N	IV	4	lad	ady
answered	V	IV	8	ans	red
lol	!	IV	3	lol	lol
			
Ne	!	IV	2	Ne	Ne
lives	V	IV	5	liv	ves
by	P	IV	2	by	by
her	O	IV	3	her	her
rapper	N	IV	6	rap	per
name	N	IV	4	nam	ame
tho	R	IV	3	tho	tho
YG	!	IV	2	YG	YG
Young	A	IV	5	You	ung
Greedy	A	OOV	6	Gre	edy
*	,	IV	1	*	*
hits	V	IV	4	hit	its
crip	N	IV	4	cri	rip
walk	V	IV	4	wal	alk
			
Scientists	N	OOV	10	Sci	sts
are	V	IV	3	are	are
in	P	IV	2	in	in
yer	!	IV	3	yer	yer
YouTube	^	IV	7	You	ube
FAIL	V	OOV	4	FAI	AIL
,	,	IV	1	,	,
studyin	V	IV	7	stu	yin
'	,	IV	1	'	'
yer	!	IV	3	yer	yer
faceplant	N	OOV	9	fac	ant
.	,	IV	1	.	.
http://t.co/T7M0ZOuQTY	U	IV	22	htt	QTY
http://t.co/TZoblSN5hu	U	IV	22	htt	5hu
			
ETS	^	IV	3	ETS	ETS
2	$	IV	1	2	2
Metallic	A	IV	8	Met	lic
Paint	N	OOV	5	Pai	int
DLC	N	OOV	3	DLC	DLC
Patch	N	OOV	5	Pat	tch
1.10.1	$	IV	6	1.1	0.1
			
@AlexxTheThird	@	IV	14	@Al	ird
looool	!	OOV	6	loo	ool
my	D	IV	2	my	my
yute	!	OOV	4	yut	ute
u	O	IV	1	u	u
nuh	!	IV	3	nuh	nuh
ntn	!	IV	3	ntn	ntn
bought	V	IV	6	bou	ght
me	O	IV	2	me	me
yeeer	!	OOV	5	yee	eer
!	,	IV	1	!	!
			
@Tiffany_1208xo	@	IV	15	@Ti	8xo
do	V	IV	2	do	do
u	O	IV	1	u	u
have	V	IV	4	hav	ave
r's	N	IV	3	r's	r's
?	,	IV	1	?	?
I	O	IV	1	I	I
dont	V	IV	4	don	ont
see	V	IV	3	see	see
it	O	IV	2	it	it
saved	V	IV	5	sav	ved
in	P	IV	2	in	in
here	R	IV	4	her	ere
:(	E	OOV	2	:(	:(
			
RT	~	IV	2	RT	RT
@whateverrmom	@	IV	13	@wh	mom
:	,	IV	1	:	:
have	V	IV	4	hav	ave
fun	N	IV	3	fun	fun
in	P	IV	2	in	in
school	N	IV	6	sch	ool
lames	N	IV	5	lam	mes
!!	,	IV	2	!!	!!
i'm	L	OOV	3	i'm	i'm
in	P	IV	2	in	in
bed	N	IV	3	bed	bed
eating	V	IV	6	eat	ing
popsicles	N	OOV	9	pop	les
and	&	IV	3	and	and
watching	V	IV	8	wat	ing
snl	N	OOV	3	snl	snl
reruns	N	IV	6	rer	uns
!!!	,	IV	3	!!!	!!!
			
I	O	IV	1	I	I
added	V	IV	5	add	ded
a	D	IV	1	a	a
video	N	IV	5	vid	deo
to	P	IV	2	to	to
a	D	IV	1	a	a
@YouTube	@	IV	8	@Yo	ube
playlist	N	OOV	8	pla	ist
http://t.co/7p7T2h5Ox2	U	IV	22	htt	Ox2
Bonnaroo	^	IV	8	Bon	roo
XI	^	IV	2	XI	XI
			
Lol	!	IV	3	Lol	Lol
its	L	IV	3	its	its
song	N	IV	4	son	ong
by	P	IV	2	by	by
rick	^	IV	4	ric	ick
ross	^	IV	4	ros	oss
..	,	IV	2	..	..
That's	L	OOV	6	Tha	t's
d	!	IV	1	d	d
title	N	IV	5	tit	tle
"	,	IV	1	"	"
the	D	IV	3	the	the
devil	N	IV	5	dev	vil
is	V	IV	2	is	is
a	D	IV	1	a	a
lie	V	IV	3	lie	lie
"	,	IV	1	"	"
@posh_yemmy	@	IV	11	@po	mmy
			
"	,	IV	1	"	"
@narendramodi_in	@	IV	16	@na	_in
:	,	IV	1	:	:
Shri	^	IV	4	Shr	hri
Gopinath	!	OOV	8	Gop	ath
Munde	^	IV	5	Mun	nde
has	V	IV	3	has	has
taken	V	IV	5	tak	ken
